post_title,post_excerpt,post_status,post_parent,menu_order,post_date,discount_type,coupon_amount,free_shipping,expiry_date,minimum_amount,maximum_amount,individual_use,exclude_sale_items,product_ids,exclude_product_ids,product_categories,exclude_product_categories,customer_email,usage_limit,usage_limit_per_user,limit_usage_to_x_items,sc_coupon_validity,validity_suffix,auto_generate_coupon,coupon_title_prefix,coupon_title_suffix,is_pick_price_of_product,sc_disable_email_restriction,sc_is_visible_storewide
"007015b5aa81f08d1c","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","","yes","no","no"
"007015b5aa81f08d87","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","","yes","no","no"
"007015b5aa81f08de6","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","","yes","no","no"
"007015b5aa81f08e15","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","","yes","no","no"
"007015b5aa81f08e6a","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","","yes","no","no"
"007015b5aa81f08fe4","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","","yes","no","no"
"007015b5aa81f09043","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","","yes","no","no"
"007015b5aa81f090a1","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","","yes","no","no"
"007015b5aa81f090f8","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","","yes","no","no"
"007015b5aa81f0914f","","publish","","","","Cart Discount","","no","","","","no","no","","","","","","","","","","days","","00701","","yes","no","no"
